
============================================================
  FreshBus Competitor Dashboard — Demo Server
============================================================
  Dashboard : http://localhost:8000
  API docs  : http://localhost:8000/api/docs
  Health    : http://localhost:8000/health
============================================================

INFO:     127.0.0.1:57659 - "GET /assets/ChartTooltip-C5StQveb.js HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63493 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57659 - "GET /favicon.ico HTTP/1.1" 200 OK
INFO:     127.0.0.1:57659 - "GET /assets/index-BFrrHu72.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:63493 - "GET /assets/index-CfCLwUrD.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:57659 - "GET /assets/AppStorePage-CEp3ROmY.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:63493 - "GET /assets/KPICard-D3xM5g4k.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:57659 - "GET /assets/HeatmapCell-CVOJC_eX.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:57659 - "GET /assets/layers-jj7ADM8d.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:63493 - "GET /assets/LineChart-DNOYwKmn.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:63493 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57659 - "GET /favicon.ico HTTP/1.1" 200 OK
INFO:     127.0.0.1:57659 - "GET /api/v1/metrics/app-store HTTP/1.1" 200 OK
INFO:     127.0.0.1:63493 - "GET /api/v1/history/google_play HTTP/1.1" 200 OK
INFO:     127.0.0.1:57659 - "GET /api/v1/history/ios_app_store HTTP/1.1" 200 OK
INFO:     127.0.0.1:63493 - "GET /api/v1/reviews/top HTTP/1.1" 200 OK
INFO:     127.0.0.1:63493 - "GET /api/v1/reviews/top?operator_slug=freshbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:55844 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56317 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50404 - "GET /assets/GooglePage-BNEqhi70.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:50404 - "GET /assets/x-BZmEiDR5.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:50404 - "GET /favicon.ico HTTP/1.1" 200 OK
INFO:     127.0.0.1:50404 - "GET /api/v1/metrics/google-reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:50404 - "GET /api/v1/history/google_reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:50404 - "GET /api/v1/reviews/top?source=google_reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:49254 - "GET /assets/RedbusPage-CEzi7-E1.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:60256 - "GET /favicon.ico HTTP/1.1" 200 OK
INFO:     127.0.0.1:65068 - "GET /assets/trophy-pwoQbh6F.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:65068 - "GET /api/v1/metrics/redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:64837 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58235 - "GET /api/v1/metrics/redbus/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58235 - "GET /api/v1/metrics/redbus/21 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57739 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60974 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57344 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60845 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56207 - "GET /api/v1/metrics/redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:50244 - "GET /api/v1/metrics/redbus/21 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59374 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50191 - "GET /api/v1/metrics/redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:58185 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63713 - "GET /api/v1/metrics/redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:49671 - "GET /api/v1/metrics/redbus/21 HTTP/1.1" 200 OK
